country,site,latlong,expenseGroup,expenseSubGroup,baseline
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0502 Trash Removal - Recycling,25098
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,1850 Ext-Building Repair&Maint,25033
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,1801 Interior - Pest Control,24702
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,8024 Catering - Hospitality,24678
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,8238 Courier Services,24520
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1431 UPS System Maintenance,24443
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0301 Window Cleaning,24088
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1302 Building R/M-Boiler Maint,23466
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1310 Central Plant Maintenance,23354
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1310 Central Plant Maintenance,23331
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,1801 Interior - Pest Control,23247
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0310 Other Specialized Clng,23174
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1431 UPS System Maintenance,23114
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1300 Building R/M-HVAC Maint,23056
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,1500 Maint-Strct/Roof,22971
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,1201 Goods Elevator Maint,22835
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1802 Interior - Signage,22806
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1306 Lighting Cntrl Sys Maint,22794
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1431 UPS System Maintenance,22742
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1440 Communications Sys Maint,22657
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1440 Communications Sys Maint,22600
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1400 Bldg R/M-Electrical Maint,22385
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1301 Ventilation System Maint,22214
India,Baddi,"30.957826,76.791356",M&E Equipment,8133 Maintenance Mgt System,22131
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1306 Lighting Cntrl Sys Maint,22100
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1303 Building Chiller Maint,22005
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,1800 Int-Bldg Repair&Maint,21933
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,8221 Print/Paper Supply,21718
Thailand,Lad Krabang,"13.722049,100.784157",Catering,8021 Canteen / Restaurant,21506
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1802 Interior - Signage,21274
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1440 Communications Sys Maint,20978
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1303 Building Chiller Maint,20734
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1431 UPS System Maintenance,20642
New Zealand,Dunedin,"-45.87876,170.502798",Security,4200 Security - Guards,20619
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1349 Mechanical Systems Maint,20533
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,1201 Goods Elevator Maint,20526
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1431 UPS System Maintenance,20409
India,Baddi,"30.957826,76.791356",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,20252
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,1100 Building Maint Services,19981
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1303 Building Chiller Maint,19963
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1303 Building Chiller Maint,19862
New Zealand,Dunedin,"-45.87876,170.502798",Security,4100 Secty-Fence&Barriers,19679
Singapore,Jurong,"1.364434,103.775263",Building Fabric,1100 Building Maint Services,19286
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1180 Compressed Air System,19158
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,8133 Maintenance Mgt System,19084
Australia,Port Melbourne,"-37.836926,144.94455",Security,4410 Secty-Eqpt CCTV Maint,18828
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1349 Mechanical Systems Maint,18702
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1431 UPS System Maintenance,18685
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1315 Refrigerator Sys Maint,17977
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1301 Ventilation System Maint,17894
Singapore,Jurong,"1.364434,103.775263",Building Fabric,1500 Maint-Strct/Roof,17678
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1802 Interior - Signage,17473
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1315 Refrigerator Sys Maint,17421
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,3100 Road/Ground-Landscaping,17263
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,1850 Ext-Building Repair&Maint,17228
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1310 Central Plant Maintenance,17150
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1310 Central Plant Maintenance,17107
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1349 Mechanical Systems Maint,17057
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,8133 Maintenance Mgt System,17001
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,1800 Int-Bldg Repair&Maint,16983
Australia,Claremont,"-31.981633,115.781288",Cleaning,0502 Trash Removal - Recycling,16684
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1349 Mechanical Systems Maint,16608
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1310 Central Plant Maintenance,16606
India,Baddi,"30.957826,76.791356",Cleaning,0310 Other Specialized Clng,16543
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1315 Refrigerator Sys Maint,16324
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1906 Appliance Maint&Testing,16210
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance",8218 Health and Safety Srvcs,16175
Thailand,Lad Krabang,"13.722049,100.784157",Catering,8024 Catering - Hospitality,16106
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,1201 Goods Elevator Maint,16007
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1310 Central Plant Maintenance,15995
Singapore,Jurong,"1.364434,103.775263",Projects,8005 Project Mngmnt Services,15528
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0301 Window Cleaning,15421
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,8133 Maintenance Mgt System,15345
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1306 Lighting Cntrl Sys Maint,15102
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,8133 Maintenance Mgt System,15069
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,8133 Maintenance Mgt System,14951
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,14950
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,1850 Ext-Building Repair&Maint,14855
India,Baddi,"30.957826,76.791356",M&E Equipment,1906 Appliance Maint&Testing,14830
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,14784
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1301 Ventilation System Maint,14716
India,Mumbai EC,"19.030029,72.861308",Building Fabric,1390 Water Treatment Services,14658
Thailand,Lad Krabang,"13.722049,100.784157",Business Continuity & DR,9001 Business Continuity & DR,14639
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1906 Appliance Maint&Testing,14604
Singapore,Jurong,"1.364434,103.775263",Building Fabric,1390 Water Treatment Services,14483
Singapore,Keppel Bay Towers,"1.352083,103.819836","Meetings, Communications, Events",8260 Conference Rooms,14417
Australia,Port Melbourne,"-37.836926,144.94455",Fire and Security Equipment,1700 Maint Fire/Life Safety,14350
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,1500 Maint-Strct/Roof,14332
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,1100 Building Maint Services,14303
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1300 Building R/M-HVAC Maint,14229
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,1700 Maint Fire/Life Safety,13987
India,Baddi,"30.957826,76.791356",Building Fabric,1850 Ext-Building Repair&Maint,13937
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1310 Central Plant Maintenance,13860
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,1700 Maint Fire/Life Safety,13686
New Zealand,Auckland DC,"-36.84846,174.763332",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,13674
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,1500 Maint-Strct/Roof,13529
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,1390 Water Treatment Services,13517
New Zealand,Auckland DC,"-36.84846,174.763332",Business Continuity & DR,9001 Business Continuity & DR,13425
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,1500 Maint-Strct/Roof,13340
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,3100 Road/Ground-Landscaping,13326
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,1390 Water Treatment Services,13246
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,1390 Water Treatment Services,13244
Australia,Scoresby,"-37.898567,145.230362",Fleet Management,5970 Fleet Management,13180
Australia,State Sales Offices,"-37.814107,144.96328",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,13147
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1300 Building R/M-HVAC Maint,13144
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,1850 Ext-Building Repair&Maint,13053
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,1500 Maint-Strct/Roof,12948
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,1100 Building Maint Services,12816
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1302 Building R/M-Boiler Maint,12768
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,1201 Goods Elevator Maint,12717
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0311 External Area Cleaning,12649
India,Baddi,"30.957826,76.791356",Building Fabric,1500 Maint-Strct/Roof,12508
Singapore,Keppel Bay Towers,"1.352083,103.819836",Business Continuity & DR,9001 Business Continuity & DR,12481
India,Baddi,"30.957826,76.791356",M&E Equipment,1306 Lighting Cntrl Sys Maint,12428
Australia,South Wharf,"-37.824997,144.951999",Fleet Management,5970 Fleet Management,12293
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,12208
India,Baddi,"30.957826,76.791356",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,12180
India,Baddi,"30.957826,76.791356",M&E Equipment,1300 Building R/M-HVAC Maint,12163
New Zealand,Avondale,"-36.894517,174.696524",Fleet Management,5970 Fleet Management,12109
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,1850 Ext-Building Repair&Maint,12076
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,1100 Building Maint Services,11979
New Zealand,Auckland DC,"-36.84846,174.763332",Fleet Management,5970 Fleet Management,11972
Australia,South Wharf,"-37.824997,144.951999",Security,4203 Secty-Lock & Key Controls,11928
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,11894
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,0401 Cleaning Supplies & Mats,11825
Australia,State Sales Offices,"-37.814107,144.96328",Business Continuity & DR,9001 Business Continuity & DR,11824
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,11625
Singapore,Jurong,"1.364434,103.775263",Cleaning,0500 Trash Removal,11612
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1349 Mechanical Systems Maint,11599
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,1201 Goods Elevator Maint,11589
Singapore,Jurong,"1.364434,103.775263",Business Continuity & DR,9001 Business Continuity & DR,11582
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,1390 Water Treatment Services,11554
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,1800 Int-Bldg Repair&Maint,11530
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,1700 Maint Fire/Life Safety,11522
Singapore,Jurong,"1.364434,103.775263","E, H, S & Q, compliance",8215 Env Health and Safety,11506
India,Mumbai EC,"19.030029,72.861308",Building Fabric,1100 Building Maint Services,11495
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1306 Lighting Cntrl Sys Maint,11485
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1600 Maint-Plumbing,11485
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,3100 Road/Ground-Landscaping,11485
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,11475
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,11460
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0311 External Area Cleaning,11416
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,11305
Australia,Port Melbourne,"-37.836926,144.94455",Business Continuity & DR,9001 Business Continuity & DR,11205
India,Mumbai EC,"19.030029,72.861308",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,11093
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0502 Trash Removal - Recycling,11091
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1301 Ventilation System Maint,11083
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,10970
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,3500 Roads,10911
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,1500 Maint-Strct/Roof,10906
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1431 UPS System Maintenance,10845
Australia,Ringwood,"-37.814262,145.227386",Business Continuity & DR,9001 Business Continuity & DR,10797
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,0404 Laundry Services,10759
Australia,Claremont,"-31.981633,115.781288",Cleaning,0506 Trash Removal-Confidntl,10733
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,8021 Canteen / Restaurant,10710
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,8133 Maintenance Mgt System,10687
Australia,Claremont,"-31.981633,115.781288",Cleaning,0310 Other Specialized Clng,10612
Australia,Dandenong VDC,"-37.98746,145.214861",Fleet Management,5970 Fleet Management,10570
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,1400 Bldg R/M-Electrical Maint,10528
Singapore,Jurong,"1.364434,103.775263",Cleaning,0302 Carpet Cleaning,10495
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,0500 Trash Removal,10495
Thailand,Lad Krabang,"13.722049,100.784157",Fleet Management,5970 Fleet Management,10430
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,3100 Road/Ground-Landscaping,10282
India,Mumbai EC,"19.030029,72.861308",Fleet Management,5970 Fleet Management,10272
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1400 Bldg R/M-Electrical Maint,10235
Australia,South Wharf,"-37.824997,144.951999",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,10218
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,1390 Water Treatment Services,10214
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fleet Management,5970 Fleet Management,10023
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,1500 Maint-Strct/Roof,10001
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,8222 Central Reprographics,9916
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,1906 Appliance Maint&Testing,9902
Australia,Ringwood,"-37.814262,145.227386","E, H, S & Q, compliance",8215 Env Health and Safety,9846
Australia,Ringwood,"-37.814262,145.227386",Fleet Management,5970 Fleet Management,9813
Singapore,Jurong,"1.364434,103.775263",Fleet Management,5970 Fleet Management,9644
New Zealand,Avondale,"-36.894517,174.696524",Grounds Maintenance,3100 Road/Ground-Landscaping,9535
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1600 Maint-Plumbing,9427
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1310 Central Plant Maintenance,9414
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,9372
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1906 Appliance Maint&Testing,9319
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1300 Building R/M-HVAC Maint,9287
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,9256
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1440 Communications Sys Maint,9251
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1180 Compressed Air System,9128
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,3400 Roads/Grounds - Other,9118
Australia,Port Melbourne,"-37.836926,144.94455",Fleet Management,5970 Fleet Management,9043
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,1800 Int-Bldg Repair&Maint,8974
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0302 Carpet Cleaning,8900
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1315 Refrigerator Sys Maint,8577
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,1800 Int-Bldg Repair&Maint,8541
India,Baddi,"30.957826,76.791356",Cleaning,0404 Laundry Services,8508
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1431 UPS System Maintenance,8434
Australia,Claremont,"-31.981633,115.781288",Business Continuity & DR,9001 Business Continuity & DR,8375
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1906 Appliance Maint&Testing,8281
India,Mumbai EC,"19.030029,72.861308",Business Continuity & DR,9001 Business Continuity & DR,8244
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,1500 Maint-Strct/Roof,8170
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1306 Lighting Cntrl Sys Maint,8084
India,Baddi,"30.957826,76.791356",FM management & administration,5000 Admin Support Services,8062
Australia,Claremont,"-31.981633,115.781288",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,8017
New Zealand,Dunedin,"-45.87876,170.502798",Fleet Management,5970 Fleet Management,7993
Australia,Ringwood,"-37.814262,145.227386",Catering,1910 Maint-Kitchen Equpt,7948
India,Baddi,"30.957826,76.791356",Fleet Management,5970 Fleet Management,7832
Australia,Ringwood,"-37.814262,145.227386",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,7695
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1301 Ventilation System Maint,7692
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,0500 Trash Removal,7688
Australia,Ringwood,"-37.814262,145.227386",Mail Room & Reception,5710 Reception Services,7649
New Zealand,Dunedin,"-45.87876,170.502798",Catering,8025 Catering - Equipment,7609
India,Baddi,"30.957826,76.791356",Building Fabric,1800 Int-Bldg Repair&Maint,7595
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1440 Communications Sys Maint,7473
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,1201 Goods Elevator Maint,7357
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,1600 Maint-Plumbing,7354
Australia,South Wharf,"-37.824997,144.951999",Business Continuity & DR,9001 Business Continuity & DR,7309
India,Baddi,"30.957826,76.791356",Building Fabric,1201 Goods Elevator Maint,7294
Singapore,Jurong,"1.364434,103.775263",Cleaning,0401 Cleaning Supplies & Mats,7244
Australia,Port Melbourne,"-37.836926,144.94455",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,7222
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1303 Building Chiller Maint,7203
Thailand,Lad Krabang,"13.722049,100.784157",Mail Room & Reception,8235 Mailroom Services,6987
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1305 Bldg R/M-CntrlSys Maint,6960
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,1800 Int-Bldg Repair&Maint,6918
Australia,Ringwood,"-37.814262,145.227386","E, H, S & Q, compliance",8218 Health and Safety Srvcs,6845
Australia,Claremont,"-31.981633,115.781288",Building Fabric,1100 Building Maint Services,6782
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,6651
India,Mumbai EC,"19.030029,72.861308",Cleaning,0311 External Area Cleaning,6642
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1431 UPS System Maintenance,6573
India,Baddi,"30.957826,76.791356",Catering,8024 Catering - Hospitality,6555
Australia,Claremont,"-31.981633,115.781288",Cleaning,0311 External Area Cleaning,6548
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1400 Bldg R/M-Electrical Maint,6529
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0307 High Tech Cleaning,6460
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,1180 Compressed Air System,6261
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,3100 Road/Ground-Landscaping,6238
Australia,State Sales Offices,"-37.814107,144.96328",Fleet Management,5970 Fleet Management,6199
Australia,Claremont,"-31.981633,115.781288",Building Fabric,1500 Maint-Strct/Roof,6198
New Zealand,Avondale,"-36.894517,174.696524",Business Continuity & DR,9001 Business Continuity & DR,6190
Australia,Dandenong VDC,"-37.98746,145.214861",Business Continuity & DR,9001 Business Continuity & DR,6056
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1301 Ventilation System Maint,6038
India,Baddi,"30.957826,76.791356",M&E Equipment,1349 Mechanical Systems Maint,6030
Australia,Claremont,"-31.981633,115.781288",Fleet Management,5970 Fleet Management,6020
Australia,South Wharf,"-37.824997,144.951999",Fire and Security Equipment,1700 Maint Fire/Life Safety,5981
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,1300 Building R/M-HVAC Maint,5830
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1440 Communications Sys Maint,5745
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,1850 Ext-Building Repair&Maint,5743
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1440 Communications Sys Maint,5735
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,1600 Maint-Plumbing,5728
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,8021 Canteen / Restaurant,5721
Australia,State Sales Offices,"-37.814107,144.96328","E, H, S & Q, compliance",8215 Env Health and Safety,5692
New Zealand,Avondale,"-36.894517,174.696524",Security,4300 Security - Monitoring,5640
Singapore,Jurong,"1.364434,103.775263",Building Fabric,1800 Int-Bldg Repair&Maint,5616
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,1600 Maint-Plumbing,5518
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,1850 Ext-Building Repair&Maint,5283
Australia,Claremont,"-31.981633,115.781288",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,5218
Australia,Dandenong VDC,"-37.98746,145.214861",Fire and Security Equipment,1700 Maint Fire/Life Safety,5212
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1802 Interior - Signage,5076
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,1850 Ext-Building Repair&Maint,5066
India,Mumbai EC,"19.030029,72.861308",Building Fabric,1500 Maint-Strct/Roof,4801
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,3100 Road/Ground-Landscaping,4786
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,1201 Goods Elevator Maint,4779
New Zealand,Auckland DC,"-36.84846,174.763332","E, H, S & Q, compliance",8215 Env Health and Safety,4768
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,1400 Bldg R/M-Electrical Maint,4754
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,0302 Carpet Cleaning,4702
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,4615
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,0500 Trash Removal,4510
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,1850 Ext-Building Repair&Maint,4505
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,1349 Mechanical Systems Maint,4426
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,1100 Building Maint Services,4415
Australia,Dandenong VDC,"-37.98746,145.214861",Security,4100 Secty-Fence&Barriers,4326
Australia,Scoresby,"-37.898567,145.230362",Business Continuity & DR,9001 Business Continuity & DR,4273
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,1500 Maint-Strct/Roof,4240
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,1390 Water Treatment Services,4210
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,1201 Goods Elevator Maint,4124
India,Mumbai EC,"19.030029,72.861308",Cleaning,0401 Cleaning Supplies & Mats,4035
New Zealand,Dunedin,"-45.87876,170.502798",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,3990
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,8025 Catering - Equipment,3955
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,1200 Bldg R/M-Elev/Escltr Mnt,3909
New Zealand,Dunedin,"-45.87876,170.502798",Security,4203 Secty-Lock & Key Controls,3855
Australia,South Wharf,"-37.824997,144.951999",Cleaning,1801 Interior - Pest Control,3848
Australia,Dandenong VDC,"-37.98746,145.214861",Fire and Security Equipment,4405 Secty-Intruder Alarm Sys,3828
India,Baddi,"30.957826,76.791356",Cleaning,0401 Cleaning Supplies & Mats,3826
Australia,Port Melbourne,"-37.836926,144.94455",Security,4203 Secty-Lock & Key Controls,3648
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1301 Ventilation System Maint,3553
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,1390 Water Treatment Services,3547
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1300 Building R/M-HVAC Maint,3470
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,0307 High Tech Cleaning,3461
New Zealand,Auckland DC,"-36.84846,174.763332",Fire and Security Equipment,1700 Maint Fire/Life Safety,3356
Thailand,Lad Krabang,"13.722049,100.784157",Projects,8005 Project Mngmnt Services,3345
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,1800 Int-Bldg Repair&Maint,3340
India,Mumbai EC,"19.030029,72.861308",Building Fabric,1201 Goods Elevator Maint,3329
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0302 Carpet Cleaning,3279
Australia,Scoresby,"-37.898567,145.230362",Catering,8024 Catering - Hospitality,3254
Singapore,Jurong,"1.364434,103.775263",Building Fabric,1850 Ext-Building Repair&Maint,3203
New Zealand,Dunedin,"-45.87876,170.502798",Security,4202 Secty-Emergency Planning,3147
